Model,Parameters,FLOPs,Accuracy_mean,Accuracy_ci,Precision_mean,Precision_ci,Recall_mean,Recall_ci,F1_mean,F1_ci,ROC-AUC_mean,ROC-AUC_ci,Train_Time_mean,Train_Time_ci,Infer_Time_mean,Infer_Time_ci,Memory_MB_mean,Memory_MB_ci
1D-CNN,44517,30328640,0.9232745961820852,0.0,0.9250563580595245,0.0,0.9232791636127751,0.0,0.9233523795022387,0.0,0.9907781258911266,0.0,386.8150067329407,0.0,0.02858489095376977,0.0,654.43359375,0.0
CNN-LSTM,86117,25167552,0.9216226138032305,0.0,0.9237179548724399,0.0,0.9216282929377174,0.0,0.9215384700402167,0.0,0.9904574113325676,0.0,231.45185256004333,0.0,0.020057138017270708,0.0,1125.3134765625,0.0
TCN,115877,538918720,0.7659691629955947,0.0,0.8169601410901566,0.0,0.7659630500164278,0.0,0.7638617742408913,0.0,0.9702107131559515,0.0,5003.443570613861,0.0,0.29847406605791943,0.0,9021.7626953125,0.0
Transformer,82053,4021408,0.8324155653450808,0.0,0.8390599666680336,0.0,0.8324103419516264,0.0,0.8308450199703771,0.0,0.970235444877178,0.0,188.7471408843994,0.0,0.014605807487835094,0.0,226.47216796875,0.0
GAT-No-Shapelets,22777,386248,0.7863436123348018,0.0,0.7883496728447023,0.0,0.786357654948147,0.0,0.7868709561692585,0.0,0.9363704385178441,0.0,343.8248269557953,0.0,0.04628773302758843,0.0,107.125,0.0
GCN-No-Shapelets,22617,386248,0.7665198237885462,0.0,0.7724915327580975,0.0,0.7665423206207193,0.0,0.7683426969803693,0.0,0.9204224298816399,0.0,297.6045808792114,0.0,0.03918397094009556,0.0,66.90478515625,0.0
