num_shapelets,accuracy,f1_score,parameters,flops,train_time_epoch,infer_latency
2,75.34875183553598,75.43131746679883,2445,5113372,9.555533018112182,0.1900461455336725
4,85.64610866372982,85.67203633856728,2773,10220496,9.645619432926178,0.20551445865721413
6,85.75624082232012,85.57028581753192,3101,15327620,8.92621207634608,0.1711255983647072
8,86.2885462555066,86.43392768058911,3429,20434744,8.754740207195281,0.2090613677570916
10,84.87518355359765,84.97515016306319,3757,25541868,10.006222674846649,0.20881561148497793
12,88.1424375917768,88.12756427868699,4085,30648992,11.167896512349447,0.24658191779797728
14,85.4992657856094,85.44657379978811,4413,35756116,12.709304323196411,0.25393779982220044
16,86.068281938326,85.87893675296806,4741,40863240,13.861148707866668,0.3070778994247167
