num_shapelets,accuracy,f1_score,parameters,flops,train_time_epoch,infer_latency
2,0.0,0.0,2445,5113372,0.42444825172424316,1.4034843444824219
4,0.0,0.0,2773,10220496,0.2454061508178711,1.1019659042358398
6,0.0,0.0,3101,15327620,0.19550657272338867,0.8202552795410156
8,0.0,0.0,3429,20434744,0.1748194694519043,0.8450984954833984
10,0.0,0.0,3757,25541868,0.18999361991882324,0.8486795425415039
12,0.0,0.0,4085,30648992,0.24277973175048828,0.9176921844482422
14,2.0,1.9607843137254901,4413,35756116,0.22588872909545898,1.090240478515625
16,0.0,0.0,4741,40863240,0.5222682952880859,2.5812196731567383
